Category: All categories

Month,crash out: (United States)
2004-01,13
2004-02,16
2004-03,0
2004-04,14
2004-05,7
2004-06,14
2004-07,9
2004-08,11
2004-09,18
2004-10,12
2004-11,7
2004-12,16
2005-01,10
2005-02,12
2005-03,11
2005-04,11
2005-05,14
2005-06,13
2005-07,15
2005-08,19
2005-09,16
2005-10,13
2005-11,15
2005-12,11
2006-01,15
2006-02,16
2006-03,16
2006-04,13
2006-05,12
2006-06,13
2006-07,12
2006-08,15
2006-09,9
2006-10,11
2006-11,13
2006-12,12
2007-01,12
2007-02,18
2007-03,11
2007-04,18
2007-05,15
2007-06,12
2007-07,14
2007-08,17
2007-09,12
2007-10,14
2007-11,15
2007-12,16
2008-01,18
2008-02,13
2008-03,15
2008-04,13
2008-05,16
2008-06,15
2008-07,15
2008-08,15
2008-09,21
2008-10,18
2008-11,19
2008-12,18
2009-01,20
2009-02,20
2009-03,26
2009-04,19
2009-05,19
2009-06,20
2009-07,16
2009-08,18
2009-09,20
2009-10,17
2009-11,17
2009-12,17
2010-01,16
2010-02,26
2010-03,18
2010-04,19
2010-05,20
2010-06,17
2010-07,17
2010-08,17
2010-09,15
2010-10,14
2010-11,14
2010-12,15
2011-01,17
2011-02,15
2011-03,17
2011-04,17
2011-05,17
2011-06,18
2011-07,21
2011-08,19
2011-09,21
2011-10,20
2011-11,19
2011-12,18
2012-01,17
2012-02,19
2012-03,17
2012-04,19
2012-05,17
2012-06,20
2012-07,17
2012-08,17
2012-09,18
2012-10,17
2012-11,16
2012-12,21
2013-01,20
2013-02,23
2013-03,19
2013-04,18
2013-05,20
2013-06,21
2013-07,29
2013-08,27
2013-09,18
2013-10,19
2013-11,19
2013-12,29
2014-01,19
2014-02,20
2014-03,23
2014-04,21
2014-05,20
2014-06,20
2014-07,25
2014-08,20
2014-09,18
2014-10,18
2014-11,17
2014-12,19
2015-01,20
2015-02,22
2015-03,28
2015-04,22
2015-05,24
2015-06,21
2015-07,23
2015-08,24
2015-09,22
2015-10,20
2015-11,28
2015-12,19
2016-01,22
2016-02,23
2016-03,21
2016-04,23
2016-05,23
2016-06,23
2016-07,20
2016-08,21
2016-09,22
2016-10,21
2016-11,22
2016-12,25
2017-01,23
2017-02,25
2017-03,24
2017-04,22
2017-05,23
2017-06,26
2017-07,33
2017-08,22
2017-09,21
2017-10,20
2017-11,21
2017-12,22
2018-01,21
2018-02,26
2018-03,23
2018-04,28
2018-05,23
2018-06,22
2018-07,24
2018-08,21
2018-09,20
2018-10,24
2018-11,20
2018-12,20
2019-01,22
2019-02,23
2019-03,26
2019-04,22
2019-05,22
2019-06,25
2019-07,19
2019-08,20
2019-09,21
2019-10,21
2019-11,22
2019-12,26
2020-01,49
2020-02,35
2020-03,31
2020-04,27
2020-05,25
2020-06,22
2020-07,24
2020-08,23
2020-09,26
2020-10,27
2020-11,22
2020-12,24
2021-01,26
2021-02,31
2021-03,27
2021-04,26
2021-05,27
2021-06,23
2021-07,24
2021-08,20
2021-09,23
2021-10,23
2021-11,25
2021-12,23
2022-01,34
2022-02,34
2022-03,37
2022-04,35
2022-05,35
2022-06,32
2022-07,32
2022-08,39
2022-09,32
2022-10,30
2022-11,32
2022-12,30
2023-01,36
2023-02,36
2023-03,39
2023-04,34
2023-05,38
2023-06,35
2023-07,33
2023-08,31
2023-09,35
2023-10,36
2023-11,37
2023-12,37
2024-01,50
2024-02,57
2024-03,78
2024-04,70
2024-05,76
2024-06,75
2024-07,73
2024-08,91
2024-09,100
