Category: All categories

Month,Dab: (United States)
2004-01,3
2004-02,3
2004-03,3
2004-04,3
2004-05,3
2004-06,3
2004-07,3
2004-08,3
2004-09,3
2004-10,3
2004-11,3
2004-12,4
2005-01,3
2005-02,2
2005-03,3
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,3
2006-02,3
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,3
2008-01,3
2008-02,2
2008-03,2
2008-04,2
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,2
2008-10,2
2008-11,2
2008-12,2
2009-01,2
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,3
2010-03,2
2010-04,2
2010-05,2
2010-06,3
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,3
2012-12,3
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,5
2013-08,5
2013-09,5
2013-10,5
2013-11,6
2013-12,6
2014-01,8
2014-02,9
2014-03,9
2014-04,9
2014-05,9
2014-06,8
2014-07,9
2014-08,9
2014-09,8
2014-10,9
2014-11,11
2014-12,11
2015-01,11
2015-02,11
2015-03,11
2015-04,11
2015-05,11
2015-06,11
2015-07,12
2015-08,12
2015-09,13
2015-10,17
2015-11,38
2015-12,70
2016-01,76
2016-02,100
2016-03,54
2016-04,50
2016-05,49
2016-06,44
2016-07,34
2016-08,35
2016-09,47
2016-10,48
2016-11,43
2016-12,45
2017-01,45
2017-02,43
2017-03,39
2017-04,34
2017-05,36
2017-06,31
2017-07,28
2017-08,28
2017-09,32
2017-10,32
2017-11,34
2017-12,33
2018-01,34
2018-02,31
2018-03,30
2018-04,32
2018-05,28
2018-06,28
2018-07,31
2018-08,28
2018-09,31
2018-10,33
2018-11,36
2018-12,41
2019-01,38
2019-02,37
2019-03,36
2019-04,37
2019-05,35
2019-06,35
2019-07,31
2019-08,32
2019-09,31
2019-10,27
2019-11,26
2019-12,28
2020-01,26
2020-02,26
2020-03,25
2020-04,31
2020-05,30
2020-06,28
2020-07,29
2020-08,27
2020-09,26
2020-10,27
2020-11,28
2020-12,31
2021-01,29
2021-02,28
2021-03,29
2021-04,27
2021-05,30
2021-06,29
2021-07,26
2021-08,24
2021-09,24
2021-10,24
2021-11,24
2021-12,27
2022-01,24
2022-02,25
2022-03,24
2022-04,22
2022-05,22
2022-06,21
2022-07,23
2022-08,21
2022-09,20
2022-10,20
2022-11,21
2022-12,22
2023-01,21
2023-02,22
2023-03,21
2023-04,20
2023-05,20
2023-06,19
2023-07,19
2023-08,18
2023-09,18
2023-10,19
2023-11,19
2023-12,20
2024-01,19
2024-02,18
2024-03,19
2024-04,17
2024-05,17
2024-06,16
2024-07,17
2024-08,17
2024-09,16
