Category: All categories

Month,Dank: (United States)
2004-01,6
2004-02,7
2004-03,5
2004-04,6
2004-05,5
2004-06,6
2004-07,6
2004-08,6
2004-09,8
2004-10,7
2004-11,6
2004-12,5
2005-01,5
2005-02,7
2005-03,5
2005-04,8
2005-05,6
2005-06,6
2005-07,6
2005-08,6
2005-09,6
2005-10,7
2005-11,7
2005-12,7
2006-01,6
2006-02,8
2006-03,8
2006-04,8
2006-05,7
2006-06,6
2006-07,7
2006-08,6
2006-09,6
2006-10,6
2006-11,6
2006-12,7
2007-01,7
2007-02,7
2007-03,7
2007-04,7
2007-05,7
2007-06,6
2007-07,7
2007-08,7
2007-09,8
2007-10,8
2007-11,8
2007-12,7
2008-01,8
2008-02,8
2008-03,7
2008-04,8
2008-05,7
2008-06,7
2008-07,7
2008-08,8
2008-09,8
2008-10,8
2008-11,9
2008-12,8
2009-01,8
2009-02,8
2009-03,9
2009-04,9
2009-05,8
2009-06,9
2009-07,8
2009-08,9
2009-09,8
2009-10,9
2009-11,10
2009-12,10
2010-01,9
2010-02,9
2010-03,10
2010-04,11
2010-05,11
2010-06,9
2010-07,10
2010-08,11
2010-09,12
2010-10,12
2010-11,12
2010-12,12
2011-01,13
2011-02,12
2011-03,13
2011-04,13
2011-05,12
2011-06,12
2011-07,13
2011-08,11
2011-09,11
2011-10,12
2011-11,13
2011-12,11
2012-01,11
2012-02,11
2012-03,11
2012-04,11
2012-05,11
2012-06,11
2012-07,10
2012-08,11
2012-09,10
2012-10,11
2012-11,10
2012-12,11
2013-01,11
2013-02,11
2013-03,11
2013-04,11
2013-05,11
2013-06,11
2013-07,11
2013-08,11
2013-09,11
2013-10,11
2013-11,11
2013-12,11
2014-01,13
2014-02,13
2014-03,13
2014-04,13
2014-05,14
2014-06,13
2014-07,12
2014-08,12
2014-09,12
2014-10,13
2014-11,14
2014-12,16
2015-01,18
2015-02,18
2015-03,23
2015-04,30
2015-05,29
2015-06,23
2015-07,25
2015-08,29
2015-09,37
2015-10,39
2015-11,41
2015-12,42
2016-01,38
2016-02,50
2016-03,52
2016-04,61
2016-05,65
2016-06,52
2016-07,47
2016-08,57
2016-09,87
2016-10,86
2016-11,88
2016-12,80
2017-01,83
2017-02,86
2017-03,81
2017-04,81
2017-05,79
2017-06,53
2017-07,48
2017-08,53
2017-09,72
2017-10,70
2017-11,76
2017-12,69
2018-01,75
2018-02,71
2018-03,74
2018-04,68
2018-05,67
2018-06,46
2018-07,42
2018-08,50
2018-09,67
2018-10,75
2018-11,78
2018-12,85
2019-01,89
2019-02,94
2019-03,98
2019-04,100
2019-05,95
2019-06,80
2019-07,71
2019-08,77
2019-09,79
2019-10,64
2019-11,55
2019-12,49
2020-01,47
2020-02,47
2020-03,44
2020-04,43
2020-05,41
2020-06,38
2020-07,38
2020-08,38
2020-09,43
2020-10,37
2020-11,36
2020-12,39
2021-01,36
2021-02,33
2021-03,36
2021-04,36
2021-05,34
2021-06,32
2021-07,31
2021-08,29
2021-09,28
2021-10,27
2021-11,28
2021-12,29
2022-01,32
2022-02,29
2022-03,27
2022-04,30
2022-05,28
2022-06,25
2022-07,26
2022-08,25
2022-09,22
2022-10,22
2022-11,21
2022-12,21
2023-01,20
2023-02,21
2023-03,21
2023-04,23
2023-05,21
2023-06,21
2023-07,22
2023-08,24
2023-09,23
2023-10,20
2023-11,20
2023-12,21
2024-01,20
2024-02,21
2024-03,21
2024-04,41
2024-05,20
2024-06,22
2024-07,20
2024-08,19
2024-09,21
