Category: All categories

Month,down in ohio: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,11
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,9
2005-05,0
2005-06,14
2005-07,0
2005-08,10
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,8
2006-02,0
2006-03,7
2006-04,6
2006-05,8
2006-06,11
2006-07,8
2006-08,6
2006-09,5
2006-10,0
2006-11,6
2006-12,7
2007-01,7
2007-02,6
2007-03,5
2007-04,4
2007-05,6
2007-06,9
2007-07,8
2007-08,7
2007-09,9
2007-10,5
2007-11,7
2007-12,7
2008-01,7
2008-02,8
2008-03,6
2008-04,8
2008-05,9
2008-06,9
2008-07,9
2008-08,9
2008-09,8
2008-10,8
2008-11,6
2008-12,4
2009-01,7
2009-02,8
2009-03,9
2009-04,12
2009-05,10
2009-06,14
2009-07,12
2009-08,11
2009-09,8
2009-10,8
2009-11,10
2009-12,8
2010-01,9
2010-02,8
2010-03,10
2010-04,13
2010-05,13
2010-06,14
2010-07,12
2010-08,10
2010-09,12
2010-10,10
2010-11,9
2010-12,8
2011-01,13
2011-02,13
2011-03,13
2011-04,14
2011-05,14
2011-06,15
2011-07,13
2011-08,13
2011-09,13
2011-10,15
2011-11,14
2011-12,12
2012-01,14
2012-02,13
2012-03,14
2012-04,15
2012-05,11
2012-06,14
2012-07,15
2012-08,15
2012-09,14
2012-10,15
2012-11,14
2012-12,11
2013-01,13
2013-02,14
2013-03,16
2013-04,15
2013-05,15
2013-06,16
2013-07,16
2013-08,15
2013-09,16
2013-10,21
2013-11,14
2013-12,13
2014-01,14
2014-02,14
2014-03,14
2014-04,15
2014-05,14
2014-06,14
2014-07,18
2014-08,15
2014-09,16
2014-10,15
2014-11,15
2014-12,14
2015-01,17
2015-02,15
2015-03,15
2015-04,17
2015-05,17
2015-06,17
2015-07,18
2015-08,17
2015-09,19
2015-10,17
2015-11,16
2015-12,14
2016-01,16
2016-02,15
2016-03,17
2016-04,16
2016-05,15
2016-06,17
2016-07,17
2016-08,15
2016-09,16
2016-10,16
2016-11,19
2016-12,14
2017-01,14
2017-02,15
2017-03,16
2017-04,15
2017-05,15
2017-06,20
2017-07,22
2017-08,17
2017-09,16
2017-10,15
2017-11,17
2017-12,13
2018-01,16
2018-02,16
2018-03,15
2018-04,17
2018-05,16
2018-06,16
2018-07,17
2018-08,17
2018-09,17
2018-10,15
2018-11,14
2018-12,15
2019-01,18
2019-02,16
2019-03,17
2019-04,17
2019-05,18
2019-06,19
2019-07,18
2019-08,18
2019-09,18
2019-10,15
2019-11,15
2019-12,13
2020-01,15
2020-02,16
2020-03,100
2020-04,33
2020-05,26
2020-06,26
2020-07,32
2020-08,19
2020-09,21
2020-10,20
2020-11,32
2020-12,19
2021-01,19
2021-02,19
2021-03,20
2021-04,21
2021-05,19
2021-06,20
2021-07,19
2021-08,21
2021-09,19
2021-10,19
2021-11,17
2021-12,17
2022-01,21
2022-02,20
2022-03,26
2022-04,26
2022-05,28
2022-06,30
2022-07,29
2022-08,31
2022-09,34
2022-10,39
2022-11,61
2022-12,73
2023-01,65
2023-02,78
2023-03,51
2023-04,43
2023-05,38
2023-06,34
2023-07,29
2023-08,31
2023-09,33
2023-10,31
2023-11,31
2023-12,24
2024-01,26
2024-02,29
2024-03,34
2024-04,36
2024-05,33
2024-06,26
2024-07,25
2024-08,29
2024-09,26
