Category: All categories

Month,duke dennis: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,2
2006-04,2
2006-05,0
2006-06,0
2006-07,2
2006-08,0
2006-09,0
2006-10,0
2006-11,2
2006-12,0
2007-01,0
2007-02,0
2007-03,2
2007-04,1
2007-05,0
2007-06,2
2007-07,0
2007-08,1
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,1
2008-03,1
2008-04,1
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,1
2008-12,0
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,2
2009-06,1
2009-07,0
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,2
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,0
2010-11,1
2010-12,0
2011-01,1
2011-02,1
2011-03,1
2011-04,<1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,<1
2011-10,1
2011-11,1
2011-12,1
2012-01,<1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,1
2012-10,1
2012-11,<1
2012-12,<1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,<1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,2
2015-05,1
2015-06,1
2015-07,2
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,2
2017-02,1
2017-03,1
2017-04,<1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,1
2019-01,3
2019-02,3
2019-03,3
2019-04,3
2019-05,3
2019-06,3
2019-07,2
2019-08,3
2019-09,3
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,2
2020-03,2
2020-04,4
2020-05,4
2020-06,5
2020-07,5
2020-08,4
2020-09,4
2020-10,3
2020-11,6
2020-12,4
2021-01,5
2021-02,5
2021-03,6
2021-04,7
2021-05,6
2021-06,7
2021-07,24
2021-08,10
2021-09,7
2021-10,7
2021-11,8
2021-12,9
2022-01,15
2022-02,17
2022-03,14
2022-04,27
2022-05,27
2022-06,24
2022-07,43
2022-08,35
2022-09,31
2022-10,27
2022-11,34
2022-12,35
2023-01,40
2023-02,31
2023-03,25
2023-04,37
2023-05,49
2023-06,72
2023-07,89
2023-08,92
2023-09,68
2023-10,75
2023-11,45
2023-12,46
2024-01,50
2024-02,88
2024-03,75
2024-04,70
2024-05,100
2024-06,86
2024-07,78
2024-08,70
2024-09,67
