Category: All categories

Month,edging: (United States)
2004-01,12
2004-02,11
2004-03,25
2004-04,36
2004-05,35
2004-06,28
2004-07,27
2004-08,23
2004-09,17
2004-10,14
2004-11,12
2004-12,8
2005-01,11
2005-02,14
2005-03,20
2005-04,36
2005-05,36
2005-06,29
2005-07,25
2005-08,21
2005-09,17
2005-10,15
2005-11,10
2005-12,10
2006-01,11
2006-02,13
2006-03,19
2006-04,36
2006-05,30
2006-06,26
2006-07,23
2006-08,18
2006-09,16
2006-10,13
2006-11,11
2006-12,9
2007-01,10
2007-02,11
2007-03,21
2007-04,29
2007-05,36
2007-06,27
2007-07,22
2007-08,18
2007-09,16
2007-10,13
2007-11,10
2007-12,8
2008-01,11
2008-02,11
2008-03,20
2008-04,28
2008-05,33
2008-06,25
2008-07,21
2008-08,17
2008-09,14
2008-10,12
2008-11,10
2008-12,8
2009-01,9
2009-02,12
2009-03,20
2009-04,28
2009-05,32
2009-06,25
2009-07,21
2009-08,17
2009-09,14
2009-10,12
2009-11,11
2009-12,9
2010-01,10
2010-02,11
2010-03,18
2010-04,30
2010-05,28
2010-06,22
2010-07,18
2010-08,16
2010-09,13
2010-10,12
2010-11,10
2010-12,8
2011-01,10
2011-02,12
2011-03,19
2011-04,24
2011-05,28
2011-06,25
2011-07,20
2011-08,18
2011-09,16
2011-10,13
2011-11,11
2011-12,10
2012-01,12
2012-02,14
2012-03,22
2012-04,29
2012-05,30
2012-06,22
2012-07,20
2012-08,19
2012-09,21
2012-10,14
2012-11,12
2012-12,12
2013-01,13
2013-02,15
2013-03,21
2013-04,36
2013-05,38
2013-06,30
2013-07,30
2013-08,25
2013-09,22
2013-10,18
2013-11,16
2013-12,14
2014-01,15
2014-02,19
2014-03,26
2014-04,39
2014-05,45
2014-06,42
2014-07,34
2014-08,30
2014-09,24
2014-10,21
2014-11,18
2014-12,19
2015-01,20
2015-02,21
2015-03,31
2015-04,48
2015-05,51
2015-06,45
2015-07,40
2015-08,39
2015-09,32
2015-10,27
2015-11,23
2015-12,23
2016-01,22
2016-02,25
2016-03,37
2016-04,50
2016-05,54
2016-06,48
2016-07,39
2016-08,34
2016-09,32
2016-10,28
2016-11,24
2016-12,23
2017-01,28
2017-02,35
2017-03,41
2017-04,56
2017-05,54
2017-06,48
2017-07,44
2017-08,38
2017-09,32
2017-10,31
2017-11,26
2017-12,23
2018-01,26
2018-02,29
2018-03,38
2018-04,52
2018-05,65
2018-06,55
2018-07,47
2018-08,40
2018-09,35
2018-10,31
2018-11,27
2018-12,25
2019-01,26
2019-02,28
2019-03,40
2019-04,64
2019-05,61
2019-06,56
2019-07,46
2019-08,41
2019-09,36
2019-10,31
2019-11,27
2019-12,24
2020-01,28
2020-02,31
2020-03,42
2020-04,86
2020-05,100
2020-06,82
2020-07,61
2020-08,52
2020-09,46
2020-10,40
2020-11,35
2020-12,31
2021-01,33
2021-02,34
2021-03,59
2021-04,80
2021-05,84
2021-06,66
2021-07,59
2021-08,50
2021-09,45
2021-10,38
2021-11,41
2021-12,30
2022-01,32
2022-02,36
2022-03,53
2022-04,67
2022-05,76
2022-06,63
2022-07,53
2022-08,47
2022-09,39
2022-10,50
2022-11,34
2022-12,29
2023-01,32
2023-02,38
2023-03,47
2023-04,69
2023-05,79
2023-06,64
2023-07,55
2023-08,46
2023-09,46
2023-10,46
2023-11,64
2023-12,53
2024-01,49
2024-02,54
2024-03,69
2024-04,88
2024-05,92
2024-06,76
2024-07,66
2024-08,62
2024-09,57
