Category: All categories

Month,F in the chat: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,6
2018-06,4
2018-07,7
2018-08,12
2018-09,16
2018-10,26
2018-11,34
2018-12,52
2019-01,49
2019-02,60
2019-03,49
2019-04,59
2019-05,63
2019-06,55
2019-07,45
2019-08,53
2019-09,54
2019-10,57
2019-11,58
2019-12,59
2020-01,68
2020-02,76
2020-03,86
2020-04,98
2020-05,94
2020-06,81
2020-07,79
2020-08,86
2020-09,100
2020-10,79
2020-11,70
2020-12,70
2021-01,69
2021-02,64
2021-03,58
2021-04,51
2021-05,55
2021-06,42
2021-07,36
2021-08,33
2021-09,32
2021-10,28
2021-11,29
2021-12,26
2022-01,32
2022-02,32
2022-03,28
2022-04,29
2022-05,27
2022-06,26
2022-07,31
2022-08,25
2022-09,29
2022-10,20
2022-11,20
2022-12,28
2023-01,26
2023-02,30
2023-03,31
2023-04,35
2023-05,30
2023-06,27
2023-07,25
2023-08,22
2023-09,26
2023-10,34
2023-11,27
2023-12,27
2024-01,32
2024-02,43
2024-03,34
2024-04,44
2024-05,32
2024-06,21
2024-07,22
2024-08,23
2024-09,35
