Category: All categories

Month,femboy: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,1
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,1
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,<1
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,<1
2009-01,0
2009-02,<1
2009-03,0
2009-04,0
2009-05,<1
2009-06,<1
2009-07,1
2009-08,1
2009-09,1
2009-10,<1
2009-11,<1
2009-12,1
2010-01,<1
2010-02,1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,1
2010-07,<1
2010-08,1
2010-09,<1
2010-10,1
2010-11,1
2010-12,<1
2011-01,1
2011-02,<1
2011-03,<1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,2
2012-09,1
2012-10,1
2012-11,2
2012-12,2
2013-01,2
2013-02,3
2013-03,3
2013-04,3
2013-05,3
2013-06,4
2013-07,4
2013-08,4
2013-09,4
2013-10,5
2013-11,5
2013-12,6
2014-01,6
2014-02,6
2014-03,6
2014-04,7
2014-05,7
2014-06,7
2014-07,7
2014-08,8
2014-09,8
2014-10,8
2014-11,8
2014-12,10
2015-01,9
2015-02,9
2015-03,10
2015-04,9
2015-05,10
2015-06,11
2015-07,12
2015-08,13
2015-09,12
2015-10,11
2015-11,12
2015-12,12
2016-01,9
2016-02,10
2016-03,10
2016-04,10
2016-05,11
2016-06,11
2016-07,11
2016-08,11
2016-09,10
2016-10,11
2016-11,11
2016-12,11
2017-01,11
2017-02,11
2017-03,11
2017-04,11
2017-05,11
2017-06,11
2017-07,13
2017-08,12
2017-09,11
2017-10,12
2017-11,12
2017-12,12
2018-01,12
2018-02,12
2018-03,13
2018-04,11
2018-05,13
2018-06,13
2018-07,14
2018-08,15
2018-09,13
2018-10,14
2018-11,14
2018-12,15
2019-01,14
2019-02,13
2019-03,14
2019-04,14
2019-05,15
2019-06,16
2019-07,16
2019-08,16
2019-09,15
2019-10,17
2019-11,16
2019-12,16
2020-01,16
2020-02,17
2020-03,19
2020-04,20
2020-05,23
2020-06,74
2020-07,51
2020-08,43
2020-09,40
2020-10,46
2020-11,46
2020-12,49
2021-01,49
2021-02,52
2021-03,50
2021-04,56
2021-05,59
2021-06,60
2021-07,61
2021-08,60
2021-09,61
2021-10,62
2021-11,64
2021-12,64
2022-01,58
2022-02,59
2022-03,55
2022-04,57
2022-05,54
2022-06,61
2022-07,66
2022-08,66
2022-09,68
2022-10,63
2022-11,63
2022-12,69
2023-01,69
2023-02,70
2023-03,69
2023-04,71
2023-05,74
2023-06,85
2023-07,91
2023-08,85
2023-09,84
2023-10,86
2023-11,88
2023-12,83
2024-01,86
2024-02,88
2024-03,91
2024-04,87
2024-05,92
2024-06,100
2024-07,100
2024-08,98
2024-09,99
