Category: All categories

Month,glizzy: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,<1
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,<1
2011-11,<1
2011-12,1
2012-01,1
2012-02,1
2012-03,2
2012-04,3
2012-05,4
2012-06,7
2012-07,6
2012-08,4
2012-09,4
2012-10,4
2012-11,4
2012-12,5
2013-01,3
2013-02,3
2013-03,3
2013-04,3
2013-05,4
2013-06,3
2013-07,3
2013-08,6
2013-09,4
2013-10,3
2013-11,3
2013-12,6
2014-01,6
2014-02,14
2014-03,18
2014-04,21
2014-05,27
2014-06,22
2014-07,21
2014-08,21
2014-09,15
2014-10,17
2014-11,21
2014-12,43
2015-01,27
2015-02,20
2015-03,20
2015-04,17
2015-05,17
2015-06,18
2015-07,22
2015-08,16
2015-09,14
2015-10,21
2015-11,16
2015-12,37
2016-01,27
2016-02,18
2016-03,16
2016-04,17
2016-05,14
2016-06,12
2016-07,17
2016-08,14
2016-09,11
2016-10,11
2016-11,10
2016-12,9
2017-01,10
2017-02,8
2017-03,9
2017-04,11
2017-05,11
2017-06,10
2017-07,10
2017-08,9
2017-09,14
2017-10,10
2017-11,10
2017-12,15
2018-01,11
2018-02,8
2018-03,8
2018-04,6
2018-05,5
2018-06,7
2018-07,8
2018-08,6
2018-09,6
2018-10,11
2018-11,7
2018-12,6
2019-01,5
2019-02,5
2019-03,5
2019-04,8
2019-05,7
2019-06,9
2019-07,5
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,4
2020-01,4
2020-02,4
2020-03,4
2020-04,5
2020-05,5
2020-06,9
2020-07,100
2020-08,89
2020-09,61
2020-10,36
2020-11,24
2020-12,29
2021-01,20
2021-02,16
2021-03,15
2021-04,13
2021-05,15
2021-06,13
2021-07,13
2021-08,12
2021-09,11
2021-10,12
2021-11,13
2021-12,14
2022-01,13
2022-02,14
2022-03,13
2022-04,17
2022-05,22
2022-06,18
2022-07,22
2022-08,23
2022-09,19
2022-10,16
2022-11,13
2022-12,16
2023-01,20
2023-02,17
2023-03,13
2023-04,13
2023-05,16
2023-06,15
2023-07,22
2023-08,14
2023-09,16
2023-10,14
2023-11,12
2023-12,12
2024-01,12
2024-02,12
2024-03,12
2024-04,11
2024-05,14
2024-06,15
2024-07,14
2024-08,12
2024-09,11
