Category: All categories

Month,Hits different: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,10
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,3
2008-01,2
2008-02,3
2008-03,0
2008-04,2
2008-05,3
2008-06,3
2008-07,0
2008-08,0
2008-09,3
2008-10,0
2008-11,2
2008-12,0
2009-01,0
2009-02,0
2009-03,2
2009-04,2
2009-05,4
2009-06,2
2009-07,2
2009-08,3
2009-09,2
2009-10,2
2009-11,0
2009-12,3
2010-01,2
2010-02,2
2010-03,0
2010-04,4
2010-05,3
2010-06,0
2010-07,2
2010-08,3
2010-09,2
2010-10,3
2010-11,3
2010-12,0
2011-01,4
2011-02,3
2011-03,3
2011-04,2
2011-05,3
2011-06,3
2011-07,3
2011-08,3
2011-09,3
2011-10,3
2011-11,2
2011-12,2
2012-01,3
2012-02,3
2012-03,3
2012-04,4
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,4
2012-10,4
2012-11,3
2012-12,4
2013-01,3
2013-02,4
2013-03,3
2013-04,4
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,4
2013-11,3
2013-12,2
2014-01,3
2014-02,4
2014-03,3
2014-04,4
2014-05,4
2014-06,3
2014-07,3
2014-08,3
2014-09,4
2014-10,4
2014-11,3
2014-12,3
2015-01,3
2015-02,4
2015-03,4
2015-04,4
2015-05,5
2015-06,3
2015-07,3
2015-08,3
2015-09,4
2015-10,5
2015-11,4
2015-12,4
2016-01,4
2016-02,5
2016-03,6
2016-04,6
2016-05,5
2016-06,3
2016-07,3
2016-08,3
2016-09,5
2016-10,5
2016-11,5
2016-12,5
2017-01,4
2017-02,6
2017-03,4
2017-04,5
2017-05,4
2017-06,3
2017-07,3
2017-08,3
2017-09,5
2017-10,6
2017-11,5
2017-12,4
2018-01,4
2018-02,4
2018-03,6
2018-04,5
2018-05,5
2018-06,4
2018-07,3
2018-08,3
2018-09,6
2018-10,5
2018-11,5
2018-12,4
2019-01,5
2019-02,7
2019-03,7
2019-04,6
2019-05,6
2019-06,6
2019-07,5
2019-08,5
2019-09,8
2019-10,9
2019-11,8
2019-12,8
2020-01,10
2020-02,10
2020-03,11
2020-04,13
2020-05,12
2020-06,10
2020-07,8
2020-08,7
2020-09,14
2020-10,14
2020-11,10
2020-12,12
2021-01,10
2021-02,12
2021-03,12
2021-04,14
2021-05,11
2021-06,9
2021-07,9
2021-08,9
2021-09,13
2021-10,16
2021-11,16
2021-12,17
2022-01,19
2022-02,23
2022-03,29
2022-04,35
2022-05,36
2022-06,28
2022-07,25
2022-08,25
2022-09,36
2022-10,79
2022-11,100
2022-12,70
2023-01,72
2023-02,62
2023-03,55
2023-04,58
2023-05,88
2023-06,74
2023-07,41
2023-08,36
2023-09,38
2023-10,38
2023-11,38
2023-12,41
2024-01,34
2024-02,38
2024-03,31
2024-04,38
2024-05,30
2024-06,25
2024-07,18
2024-08,17
2024-09,19
