Category: All categories

Month,i love lean: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,30
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,20
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,18
2005-11,0
2005-12,0
2006-01,30
2006-02,24
2006-03,28
2006-04,25
2006-05,22
2006-06,26
2006-07,38
2006-08,40
2006-09,25
2006-10,29
2006-11,28
2006-12,28
2007-01,26
2007-02,31
2007-03,17
2007-04,27
2007-05,32
2007-06,38
2007-07,32
2007-08,26
2007-09,24
2007-10,16
2007-11,20
2007-12,21
2008-01,18
2008-02,19
2008-03,18
2008-04,14
2008-05,15
2008-06,19
2008-07,14
2008-08,16
2008-09,11
2008-10,10
2008-11,15
2008-12,13
2009-01,13
2009-02,17
2009-03,11
2009-04,10
2009-05,16
2009-06,13
2009-07,14
2009-08,12
2009-09,8
2009-10,11
2009-11,13
2009-12,11
2010-01,15
2010-02,15
2010-03,15
2010-04,17
2010-05,13
2010-06,9
2010-07,10
2010-08,6
2010-09,12
2010-10,8
2010-11,12
2010-12,7
2011-01,14
2011-02,8
2011-03,12
2011-04,11
2011-05,14
2011-06,11
2011-07,9
2011-08,11
2011-09,10
2011-10,12
2011-11,11
2011-12,9
2012-01,10
2012-02,12
2012-03,8
2012-04,9
2012-05,10
2012-06,8
2012-07,9
2012-08,8
2012-09,6
2012-10,9
2012-11,8
2012-12,10
2013-01,7
2013-02,10
2013-03,10
2013-04,11
2013-05,11
2013-06,9
2013-07,10
2013-08,9
2013-09,9
2013-10,9
2013-11,11
2013-12,13
2014-01,14
2014-02,13
2014-03,15
2014-04,19
2014-05,20
2014-06,17
2014-07,14
2014-08,8
2014-09,8
2014-10,11
2014-11,9
2014-12,7
2015-01,10
2015-02,10
2015-03,8
2015-04,10
2015-05,12
2015-06,14
2015-07,13
2015-08,15
2015-09,12
2015-10,15
2015-11,14
2015-12,13
2016-01,13
2016-02,14
2016-03,15
2016-04,14
2016-05,13
2016-06,13
2016-07,11
2016-08,12
2016-09,11
2016-10,11
2016-11,12
2016-12,10
2017-01,10
2017-02,11
2017-03,12
2017-04,12
2017-05,10
2017-06,11
2017-07,10
2017-08,9
2017-09,10
2017-10,9
2017-11,8
2017-12,10
2018-01,7
2018-02,9
2018-03,9
2018-04,11
2018-05,9
2018-06,8
2018-07,8
2018-08,7
2018-09,8
2018-10,8
2018-11,8
2018-12,8
2019-01,9
2019-02,8
2019-03,8
2019-04,10
2019-05,10
2019-06,10
2019-07,8
2019-08,6
2019-09,8
2019-10,7
2019-11,6
2019-12,7
2020-01,8
2020-02,9
2020-03,8
2020-04,10
2020-05,9
2020-06,7
2020-07,7
2020-08,6
2020-09,6
2020-10,8
2020-11,5
2020-12,6
2021-01,7
2021-02,8
2021-03,7
2021-04,6
2021-05,5
2021-06,7
2021-07,9
2021-08,7
2021-09,8
2021-10,6
2021-11,8
2021-12,5
2022-01,14
2022-02,100
2022-03,52
2022-04,33
2022-05,22
2022-06,16
2022-07,11
2022-08,11
2022-09,10
2022-10,11
2022-11,10
2022-12,8
2023-01,10
2023-02,8
2023-03,10
2023-04,10
2023-05,10
2023-06,10
2023-07,9
2023-08,9
2023-09,9
2023-10,9
2023-11,8
2023-12,8
2024-01,9
2024-02,10
2024-03,8
2024-04,9
2024-05,7
2024-06,9
2024-07,8
2024-08,7
2024-09,8
