Category: All categories

Month,locked in: (United States)
2004-01,12
2004-02,12
2004-03,13
2004-04,13
2004-05,12
2004-06,14
2004-07,14
2004-08,15
2004-09,18
2004-10,14
2004-11,15
2004-12,13
2005-01,14
2005-02,14
2005-03,14
2005-04,15
2005-05,16
2005-06,13
2005-07,15
2005-08,17
2005-09,16
2005-10,15
2005-11,16
2005-12,14
2006-01,14
2006-02,14
2006-03,15
2006-04,14
2006-05,14
2006-06,14
2006-07,14
2006-08,14
2006-09,15
2006-10,14
2006-11,12
2006-12,13
2007-01,14
2007-02,15
2007-03,14
2007-04,14
2007-05,15
2007-06,16
2007-07,16
2007-08,16
2007-09,16
2007-10,13
2007-11,16
2007-12,17
2008-01,17
2008-02,18
2008-03,17
2008-04,23
2008-05,25
2008-06,19
2008-07,21
2008-08,19
2008-09,19
2008-10,19
2008-11,20
2008-12,21
2009-01,20
2009-02,19
2009-03,26
2009-04,31
2009-05,22
2009-06,21
2009-07,22
2009-08,23
2009-09,23
2009-10,21
2009-11,24
2009-12,23
2010-01,22
2010-02,24
2010-03,25
2010-04,25
2010-05,27
2010-06,25
2010-07,23
2010-08,24
2010-09,24
2010-10,23
2010-11,25
2010-12,24
2011-01,27
2011-02,28
2011-03,27
2011-04,27
2011-05,29
2011-06,29
2011-07,31
2011-08,29
2011-09,27
2011-10,30
2011-11,29
2011-12,31
2012-01,27
2012-02,31
2012-03,28
2012-04,28
2012-05,31
2012-06,30
2012-07,31
2012-08,39
2012-09,33
2012-10,35
2012-11,34
2012-12,38
2013-01,38
2013-02,36
2013-03,35
2013-04,35
2013-05,36
2013-06,34
2013-07,39
2013-08,36
2013-09,35
2013-10,33
2013-11,36
2013-12,38
2014-01,39
2014-02,41
2014-03,37
2014-04,39
2014-05,36
2014-06,40
2014-07,42
2014-08,38
2014-09,38
2014-10,38
2014-11,37
2014-12,37
2015-01,40
2015-02,40
2015-03,40
2015-04,40
2015-05,41
2015-06,43
2015-07,46
2015-08,46
2015-09,45
2015-10,42
2015-11,44
2015-12,41
2016-01,41
2016-02,39
2016-03,41
2016-04,40
2016-05,42
2016-06,43
2016-07,41
2016-08,38
2016-09,41
2016-10,41
2016-11,41
2016-12,45
2017-01,45
2017-02,43
2017-03,42
2017-04,43
2017-05,43
2017-06,45
2017-07,44
2017-08,43
2017-09,42
2017-10,42
2017-11,41
2017-12,43
2018-01,48
2018-02,41
2018-03,44
2018-04,40
2018-05,42
2018-06,45
2018-07,43
2018-08,43
2018-09,43
2018-10,42
2018-11,43
2018-12,42
2019-01,45
2019-02,43
2019-03,42
2019-04,42
2019-05,43
2019-06,43
2019-07,43
2019-08,42
2019-09,42
2019-10,43
2019-11,42
2019-12,40
2020-01,42
2020-02,42
2020-03,53
2020-04,51
2020-05,49
2020-06,45
2020-07,43
2020-08,46
2020-09,45
2020-10,46
2020-11,45
2020-12,48
2021-01,48
2021-02,46
2021-03,47
2021-04,45
2021-05,47
2021-06,47
2021-07,48
2021-08,46
2021-09,42
2021-10,44
2021-11,44
2021-12,47
2022-01,53
2022-02,61
2022-03,56
2022-04,59
2022-05,57
2022-06,54
2022-07,56
2022-08,57
2022-09,57
2022-10,60
2022-11,56
2022-12,64
2023-01,59
2023-02,62
2023-03,60
2023-04,62
2023-05,59
2023-06,62
2023-07,64
2023-08,59
2023-09,58
2023-10,59
2023-11,100
2023-12,64
2024-01,69
2024-02,69
2024-03,66
2024-04,65
2024-05,66
2024-06,68
2024-07,67
2024-08,62
2024-09,65
