Category: All categories

Month,munt: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,25
2004-11,0
2004-12,0
2005-01,19
2005-02,0
2005-03,14
2005-04,0
2005-05,0
2005-06,0
2005-07,20
2005-08,18
2005-09,19
2005-10,19
2005-11,13
2005-12,28
2006-01,14
2006-02,19
2006-03,14
2006-04,22
2006-05,23
2006-06,14
2006-07,14
2006-08,14
2006-09,9
2006-10,10
2006-11,18
2006-12,11
2007-01,11
2007-02,16
2007-03,18
2007-04,16
2007-05,16
2007-06,14
2007-07,14
2007-08,20
2007-09,17
2007-10,14
2007-11,15
2007-12,19
2008-01,17
2008-02,19
2008-03,18
2008-04,16
2008-05,20
2008-06,19
2008-07,15
2008-08,20
2008-09,16
2008-10,15
2008-11,17
2008-12,13
2009-01,16
2009-02,19
2009-03,18
2009-04,19
2009-05,18
2009-06,21
2009-07,18
2009-08,18
2009-09,18
2009-10,16
2009-11,19
2009-12,18
2010-01,13
2010-02,17
2010-03,32
2010-04,22
2010-05,17
2010-06,17
2010-07,20
2010-08,16
2010-09,20
2010-10,19
2010-11,20
2010-12,17
2011-01,17
2011-02,18
2011-03,16
2011-04,14
2011-05,14
2011-06,16
2011-07,16
2011-08,16
2011-09,20
2011-10,15
2011-11,13
2011-12,14
2012-01,12
2012-02,13
2012-03,16
2012-04,12
2012-05,13
2012-06,13
2012-07,15
2012-08,15
2012-09,14
2012-10,13
2012-11,12
2012-12,13
2013-01,14
2013-02,11
2013-03,11
2013-04,15
2013-05,14
2013-06,14
2013-07,13
2013-08,17
2013-09,12
2013-10,15
2013-11,12
2013-12,15
2014-01,14
2014-02,12
2014-03,14
2014-04,15
2014-05,15
2014-06,16
2014-07,17
2014-08,14
2014-09,15
2014-10,12
2014-11,13
2014-12,15
2015-01,20
2015-02,16
2015-03,15
2015-04,14
2015-05,16
2015-06,15
2015-07,19
2015-08,13
2015-09,16
2015-10,14
2015-11,15
2015-12,17
2016-01,15
2016-02,15
2016-03,16
2016-04,20
2016-05,19
2016-06,15
2016-07,16
2016-08,17
2016-09,14
2016-10,14
2016-11,12
2016-12,15
2017-01,16
2017-02,15
2017-03,16
2017-04,16
2017-05,15
2017-06,17
2017-07,16
2017-08,15
2017-09,14
2017-10,18
2017-11,16
2017-12,16
2018-01,14
2018-02,13
2018-03,15
2018-04,14
2018-05,15
2018-06,16
2018-07,15
2018-08,15
2018-09,13
2018-10,14
2018-11,14
2018-12,14
2019-01,14
2019-02,16
2019-03,15
2019-04,14
2019-05,18
2019-06,17
2019-07,15
2019-08,13
2019-09,13
2019-10,15
2019-11,14
2019-12,16
2020-01,16
2020-02,16
2020-03,14
2020-04,16
2020-05,17
2020-06,17
2020-07,16
2020-08,17
2020-09,15
2020-10,14
2020-11,15
2020-12,16
2021-01,17
2021-02,18
2021-03,16
2021-04,18
2021-05,16
2021-06,14
2021-07,18
2021-08,16
2021-09,16
2021-10,17
2021-11,17
2021-12,19
2022-01,18
2022-02,16
2022-03,16
2022-04,16
2022-05,17
2022-06,16
2022-07,20
2022-08,17
2022-09,16
2022-10,15
2022-11,16
2022-12,16
2023-01,16
2023-02,18
2023-03,21
2023-04,16
2023-05,20
2023-06,19
2023-07,21
2023-08,19
2023-09,19
2023-10,17
2023-11,18
2023-12,19
2024-01,21
2024-02,21
2024-03,63
2024-04,69
2024-05,100
2024-06,58
2024-07,53
2024-08,49
2024-09,43
