Category: All categories

Month,new meta: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,13
2005-01,14
2005-02,0
2005-03,10
2005-04,19
2005-05,19
2005-06,14
2005-07,15
2005-08,13
2005-09,10
2005-10,12
2005-11,0
2005-12,0
2006-01,14
2006-02,12
2006-03,9
2006-04,12
2006-05,12
2006-06,9
2006-07,7
2006-08,11
2006-09,8
2006-10,9
2006-11,9
2006-12,10
2007-01,11
2007-02,8
2007-03,7
2007-04,10
2007-05,10
2007-06,14
2007-07,8
2007-08,8
2007-09,11
2007-10,12
2007-11,14
2007-12,9
2008-01,11
2008-02,11
2008-03,15
2008-04,14
2008-05,12
2008-06,10
2008-07,11
2008-08,11
2008-09,8
2008-10,11
2008-11,10
2008-12,10
2009-01,10
2009-02,11
2009-03,11
2009-04,11
2009-05,12
2009-06,8
2009-07,10
2009-08,12
2009-09,10
2009-10,8
2009-11,10
2009-12,8
2010-01,8
2010-02,9
2010-03,9
2010-04,6
2010-05,11
2010-06,9
2010-07,7
2010-08,9
2010-09,9
2010-10,10
2010-11,10
2010-12,11
2011-01,11
2011-02,22
2011-03,9
2011-04,9
2011-05,8
2011-06,11
2011-07,11
2011-08,9
2011-09,10
2011-10,8
2011-11,9
2011-12,10
2012-01,11
2012-02,10
2012-03,10
2012-04,14
2012-05,11
2012-06,10
2012-07,11
2012-08,10
2012-09,10
2012-10,12
2012-11,10
2012-12,10
2013-01,9
2013-02,10
2013-03,14
2013-04,12
2013-05,14
2013-06,12
2013-07,13
2013-08,13
2013-09,11
2013-10,11
2013-11,14
2013-12,10
2014-01,12
2014-02,12
2014-03,12
2014-04,14
2014-05,14
2014-06,13
2014-07,13
2014-08,15
2014-09,15
2014-10,12
2014-11,11
2014-12,12
2015-01,12
2015-02,14
2015-03,14
2015-04,14
2015-05,15
2015-06,13
2015-07,16
2015-08,14
2015-09,15
2015-10,21
2015-11,15
2015-12,14
2016-01,12
2016-02,11
2016-03,12
2016-04,16
2016-05,14
2016-06,13
2016-07,13
2016-08,12
2016-09,11
2016-10,15
2016-11,14
2016-12,14
2017-01,16
2017-02,18
2017-03,15
2017-04,18
2017-05,14
2017-06,11
2017-07,11
2017-08,14
2017-09,10
2017-10,12
2017-11,11
2017-12,12
2018-01,11
2018-02,15
2018-03,13
2018-04,15
2018-05,12
2018-06,15
2018-07,13
2018-08,14
2018-09,13
2018-10,12
2018-11,12
2018-12,11
2019-01,11
2019-02,13
2019-03,13
2019-04,14
2019-05,14
2019-06,12
2019-07,12
2019-08,15
2019-09,13
2019-10,14
2019-11,11
2019-12,12
2020-01,12
2020-02,13
2020-03,13
2020-04,12
2020-05,11
2020-06,15
2020-07,19
2020-08,19
2020-09,14
2020-10,13
2020-11,12
2020-12,16
2021-01,28
2021-02,19
2021-03,17
2021-04,45
2021-05,24
2021-06,26
2021-07,29
2021-08,24
2021-09,28
2021-10,57
2021-11,74
2021-12,42
2022-01,45
2022-02,61
2022-03,49
2022-04,54
2022-05,53
2022-06,65
2022-07,70
2022-08,73
2022-09,75
2022-10,89
2022-11,75
2022-12,69
2023-01,56
2023-02,73
2023-03,69
2023-04,60
2023-05,55
2023-06,71
2023-07,98
2023-08,58
2023-09,64
2023-10,80
2023-11,76
2023-12,100
2024-01,86
2024-02,100
2024-03,95
2024-04,98
2024-05,82
2024-06,88
2024-07,78
2024-08,81
2024-09,80
