Category: All categories

Month,no cap: (United States)
2004-01,5
2004-02,0
2004-03,0
2004-04,5
2004-05,5
2004-06,0
2004-07,5
2004-08,5
2004-09,10
2004-10,5
2004-11,5
2004-12,5
2005-01,5
2005-02,4
2005-03,6
2005-04,7
2005-05,5
2005-06,4
2005-07,5
2005-08,3
2005-09,5
2005-10,7
2005-11,4
2005-12,6
2006-01,5
2006-02,4
2006-03,5
2006-04,5
2006-05,5
2006-06,4
2006-07,3
2006-08,6
2006-09,4
2006-10,3
2006-11,5
2006-12,5
2007-01,4
2007-02,3
2007-03,4
2007-04,5
2007-05,5
2007-06,5
2007-07,5
2007-08,5
2007-09,4
2007-10,6
2007-11,7
2007-12,6
2008-01,6
2008-02,6
2008-03,7
2008-04,6
2008-05,6
2008-06,7
2008-07,8
2008-08,9
2008-09,9
2008-10,11
2008-11,8
2008-12,8
2009-01,9
2009-02,10
2009-03,8
2009-04,10
2009-05,11
2009-06,13
2009-07,13
2009-08,10
2009-09,10
2009-10,10
2009-11,11
2009-12,10
2010-01,12
2010-02,11
2010-03,14
2010-04,16
2010-05,13
2010-06,11
2010-07,12
2010-08,12
2010-09,11
2010-10,12
2010-11,13
2010-12,12
2011-01,10
2011-02,10
2011-03,10
2011-04,10
2011-05,11
2011-06,10
2011-07,11
2011-08,10
2011-09,10
2011-10,10
2011-11,10
2011-12,10
2012-01,12
2012-02,13
2012-03,12
2012-04,12
2012-05,11
2012-06,11
2012-07,12
2012-08,11
2012-09,11
2012-10,10
2012-11,10
2012-12,11
2013-01,10
2013-02,12
2013-03,11
2013-04,12
2013-05,12
2013-06,12
2013-07,12
2013-08,12
2013-09,11
2013-10,11
2013-11,12
2013-12,12
2014-01,12
2014-02,12
2014-03,12
2014-04,13
2014-05,13
2014-06,14
2014-07,14
2014-08,13
2014-09,14
2014-10,13
2014-11,13
2014-12,12
2015-01,14
2015-02,12
2015-03,12
2015-04,14
2015-05,13
2015-06,14
2015-07,14
2015-08,15
2015-09,15
2015-10,16
2015-11,16
2015-12,15
2016-01,16
2016-02,14
2016-03,15
2016-04,16
2016-05,18
2016-06,17
2016-07,15
2016-08,15
2016-09,14
2016-10,15
2016-11,15
2016-12,14
2017-01,16
2017-02,15
2017-03,16
2017-04,16
2017-05,17
2017-06,16
2017-07,18
2017-08,15
2017-09,15
2017-10,22
2017-11,21
2017-12,20
2018-01,25
2018-02,25
2018-03,30
2018-04,34
2018-05,42
2018-06,40
2018-07,45
2018-08,41
2018-09,43
2018-10,47
2018-11,49
2018-12,53
2019-01,54
2019-02,57
2019-03,61
2019-04,68
2019-05,80
2019-06,85
2019-07,86
2019-08,75
2019-09,89
2019-10,80
2019-11,89
2019-12,89
2020-01,77
2020-02,68
2020-03,68
2020-04,69
2020-05,64
2020-06,71
2020-07,80
2020-08,70
2020-09,75
2020-10,73
2020-11,67
2020-12,73
2021-01,65
2021-02,63
2021-03,64
2021-04,59
2021-05,68
2021-06,54
2021-07,56
2021-08,67
2021-09,66
2021-10,60
2021-11,55
2021-12,53
2022-01,66
2022-02,84
2022-03,96
2022-04,100
2022-05,85
2022-06,92
2022-07,64
2022-08,74
2022-09,59
2022-10,55
2022-11,64
2022-12,50
2023-01,55
2023-02,58
2023-03,61
2023-04,57
2023-05,60
2023-06,54
2023-07,61
2023-08,53
2023-09,56
2023-10,53
2023-11,55
2023-12,49
2024-01,58
2024-02,47
2024-03,48
2024-04,48
2024-05,49
2024-06,50
2024-07,50
2024-08,55
2024-09,57
