Category: All categories

Month,only in ohio: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,12
2005-06,13
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,9
2005-12,0
2006-01,0
2006-02,9
2006-03,0
2006-04,7
2006-05,10
2006-06,0
2006-07,8
2006-08,0
2006-09,0
2006-10,7
2006-11,0
2006-12,11
2007-01,6
2007-02,8
2007-03,6
2007-04,15
2007-05,7
2007-06,5
2007-07,9
2007-08,0
2007-09,13
2007-10,6
2007-11,7
2007-12,4
2008-01,8
2008-02,7
2008-03,8
2008-04,7
2008-05,9
2008-06,9
2008-07,6
2008-08,6
2008-09,9
2008-10,9
2008-11,9
2008-12,8
2009-01,8
2009-02,6
2009-03,7
2009-04,6
2009-05,9
2009-06,9
2009-07,10
2009-08,9
2009-09,7
2009-10,9
2009-11,12
2009-12,8
2010-01,9
2010-02,11
2010-03,8
2010-04,8
2010-05,6
2010-06,8
2010-07,9
2010-08,8
2010-09,10
2010-10,8
2010-11,10
2010-12,9
2011-01,12
2011-02,12
2011-03,11
2011-04,11
2011-05,10
2011-06,12
2011-07,13
2011-08,13
2011-09,10
2011-10,13
2011-11,11
2011-12,10
2012-01,12
2012-02,11
2012-03,12
2012-04,13
2012-05,11
2012-06,9
2012-07,10
2012-08,13
2012-09,13
2012-10,14
2012-11,13
2012-12,11
2013-01,12
2013-02,14
2013-03,13
2013-04,15
2013-05,14
2013-06,11
2013-07,11
2013-08,12
2013-09,13
2013-10,13
2013-11,13
2013-12,10
2014-01,13
2014-02,12
2014-03,14
2014-04,14
2014-05,13
2014-06,12
2014-07,14
2014-08,11
2014-09,15
2014-10,14
2014-11,14
2014-12,13
2015-01,16
2015-02,15
2015-03,17
2015-04,17
2015-05,16
2015-06,16
2015-07,15
2015-08,16
2015-09,16
2015-10,16
2015-11,14
2015-12,13
2016-01,16
2016-02,18
2016-03,17
2016-04,17
2016-05,15
2016-06,14
2016-07,15
2016-08,12
2016-09,16
2016-10,16
2016-11,14
2016-12,14
2017-01,17
2017-02,18
2017-03,17
2017-04,18
2017-05,16
2017-06,15
2017-07,17
2017-08,17
2017-09,16
2017-10,21
2017-11,14
2017-12,14
2018-01,16
2018-02,18
2018-03,26
2018-04,21
2018-05,17
2018-06,13
2018-07,17
2018-08,16
2018-09,17
2018-10,18
2018-11,14
2018-12,14
2019-01,15
2019-02,17
2019-03,17
2019-04,18
2019-05,17
2019-06,16
2019-07,14
2019-08,14
2019-09,16
2019-10,16
2019-11,14
2019-12,15
2020-01,18
2020-02,20
2020-03,19
2020-04,22
2020-05,20
2020-06,19
2020-07,21
2020-08,18
2020-09,20
2020-10,22
2020-11,19
2020-12,19
2021-01,19
2021-02,20
2021-03,20
2021-04,21
2021-05,22
2021-06,19
2021-07,17
2021-08,18
2021-09,20
2021-10,21
2021-11,20
2021-12,18
2022-01,23
2022-02,25
2022-03,24
2022-04,28
2022-05,27
2022-06,26
2022-07,26
2022-08,26
2022-09,32
2022-10,59
2022-11,100
2022-12,87
2023-01,89
2023-02,79
2023-03,58
2023-04,48
2023-05,39
2023-06,31
2023-07,32
2023-08,33
2023-09,44
2023-10,54
2023-11,47
2023-12,39
2024-01,43
2024-02,44
2024-03,43
2024-04,43
2024-05,42
2024-06,33
2024-07,28
2024-08,32
2024-09,34
