Category: All categories

Month,Oof: (United States)
2004-01,14
2004-02,11
2004-03,14
2004-04,17
2004-05,15
2004-06,12
2004-07,10
2004-08,10
2004-09,12
2004-10,15
2004-11,13
2004-12,12
2005-01,12
2005-02,10
2005-03,12
2005-04,12
2005-05,14
2005-06,11
2005-07,10
2005-08,11
2005-09,13
2005-10,12
2005-11,13
2005-12,13
2006-01,12
2006-02,12
2006-03,14
2006-04,12
2006-05,13
2006-06,11
2006-07,10
2006-08,11
2006-09,13
2006-10,11
2006-11,13
2006-12,11
2007-01,13
2007-02,10
2007-03,12
2007-04,11
2007-05,12
2007-06,11
2007-07,10
2007-08,11
2007-09,12
2007-10,14
2007-11,12
2007-12,12
2008-01,12
2008-02,13
2008-03,12
2008-04,14
2008-05,13
2008-06,12
2008-07,12
2008-08,11
2008-09,13
2008-10,12
2008-11,13
2008-12,12
2009-01,11
2009-02,12
2009-03,13
2009-04,13
2009-05,13
2009-06,11
2009-07,11
2009-08,12
2009-09,12
2009-10,12
2009-11,11
2009-12,10
2010-01,11
2010-02,10
2010-03,12
2010-04,12
2010-05,11
2010-06,10
2010-07,9
2010-08,9
2010-09,10
2010-10,10
2010-11,11
2010-12,11
2011-01,11
2011-02,11
2011-03,11
2011-04,11
2011-05,13
2011-06,10
2011-07,10
2011-08,10
2011-09,10
2011-10,11
2011-11,12
2011-12,10
2012-01,11
2012-02,11
2012-03,11
2012-04,10
2012-05,11
2012-06,9
2012-07,9
2012-08,9
2012-09,10
2012-10,10
2012-11,9
2012-12,9
2013-01,9
2013-02,10
2013-03,9
2013-04,9
2013-05,10
2013-06,9
2013-07,8
2013-08,8
2013-09,9
2013-10,9
2013-11,9
2013-12,8
2014-01,9
2014-02,9
2014-03,9
2014-04,10
2014-05,10
2014-06,10
2014-07,8
2014-08,8
2014-09,10
2014-10,10
2014-11,10
2014-12,9
2015-01,10
2015-02,10
2015-03,10
2015-04,10
2015-05,11
2015-06,10
2015-07,9
2015-08,10
2015-09,10
2015-10,10
2015-11,11
2015-12,10
2016-01,10
2016-02,11
2016-03,10
2016-04,10
2016-05,9
2016-06,9
2016-07,8
2016-08,8
2016-09,10
2016-10,11
2016-11,10
2016-12,10
2017-01,10
2017-02,11
2017-03,13
2017-04,14
2017-05,15
2017-06,14
2017-07,15
2017-08,19
2017-09,35
2017-10,52
2017-11,62
2017-12,66
2018-01,72
2018-02,74
2018-03,79
2018-04,76
2018-05,81
2018-06,54
2018-07,48
2018-08,58
2018-09,87
2018-10,100
2018-11,87
2018-12,93
2019-01,87
2019-02,87
2019-03,85
2019-04,86
2019-05,82
2019-06,63
2019-07,49
2019-08,51
2019-09,63
2019-10,66
2019-11,63
2019-12,54
2020-01,62
2020-02,63
2020-03,57
2020-04,57
2020-05,57
2020-06,48
2020-07,41
2020-08,44
2020-09,50
2020-10,39
2020-11,37
2020-12,32
2021-01,30
2021-02,28
2021-03,26
2021-04,27
2021-05,24
2021-06,24
2021-07,22
2021-08,21
2021-09,20
2021-10,21
2021-11,23
2021-12,23
2022-01,23
2022-02,22
2022-03,22
2022-04,24
2022-05,24
2022-06,20
2022-07,34
2022-08,31
2022-09,23
2022-10,22
2022-11,23
2022-12,23
2023-01,22
2023-02,25
2023-03,21
2023-04,22
2023-05,20
2023-06,19
2023-07,18
2023-08,19
2023-09,18
2023-10,23
2023-11,20
2023-12,21
2024-01,21
2024-02,23
2024-03,22
2024-04,22
2024-05,22
2024-06,20
2024-07,19
2024-08,21
2024-09,22
