Category: All categories

Month,Pookie: (United States)
2004-01,8
2004-02,9
2004-03,12
2004-04,12
2004-05,10
2004-06,11
2004-07,11
2004-08,9
2004-09,10
2004-10,10
2004-11,8
2004-12,10
2005-01,8
2005-02,9
2005-03,8
2005-04,10
2005-05,11
2005-06,9
2005-07,11
2005-08,9
2005-09,11
2005-10,9
2005-11,11
2005-12,11
2006-01,8
2006-02,9
2006-03,9
2006-04,8
2006-05,10
2006-06,9
2006-07,9
2006-08,9
2006-09,9
2006-10,7
2006-11,8
2006-12,9
2007-01,10
2007-02,10
2007-03,9
2007-04,10
2007-05,8
2007-06,8
2007-07,7
2007-08,8
2007-09,8
2007-10,7
2007-11,9
2007-12,9
2008-01,8
2008-02,9
2008-03,8
2008-04,9
2008-05,8
2008-06,9
2008-07,7
2008-08,8
2008-09,7
2008-10,7
2008-11,8
2008-12,7
2009-01,7
2009-02,7
2009-03,6
2009-04,7
2009-05,7
2009-06,7
2009-07,8
2009-08,7
2009-09,6
2009-10,7
2009-11,8
2009-12,8
2010-01,7
2010-02,7
2010-03,6
2010-04,8
2010-05,8
2010-06,7
2010-07,7
2010-08,7
2010-09,8
2010-10,26
2010-11,9
2010-12,10
2011-01,9
2011-02,8
2011-03,9
2011-04,9
2011-05,9
2011-06,10
2011-07,9
2011-08,9
2011-09,8
2011-10,8
2011-11,8
2011-12,8
2012-01,8
2012-02,8
2012-03,7
2012-04,8
2012-05,8
2012-06,8
2012-07,8
2012-08,8
2012-09,8
2012-10,8
2012-11,8
2012-12,10
2013-01,8
2013-02,8
2013-03,9
2013-04,9
2013-05,9
2013-06,9
2013-07,9
2013-08,9
2013-09,8
2013-10,8
2013-11,9
2013-12,10
2014-01,10
2014-02,8
2014-03,9
2014-04,10
2014-05,11
2014-06,8
2014-07,9
2014-08,9
2014-09,8
2014-10,9
2014-11,9
2014-12,10
2015-01,10
2015-02,9
2015-03,9
2015-04,10
2015-05,9
2015-06,10
2015-07,10
2015-08,9
2015-09,8
2015-10,9
2015-11,9
2015-12,9
2016-01,9
2016-02,8
2016-03,8
2016-04,8
2016-05,8
2016-06,8
2016-07,9
2016-08,8
2016-09,7
2016-10,8
2016-11,8
2016-12,10
2017-01,9
2017-02,8
2017-03,7
2017-04,8
2017-05,8
2017-06,7
2017-07,8
2017-08,7
2017-09,7
2017-10,7
2017-11,8
2017-12,8
2018-01,8
2018-02,7
2018-03,7
2018-04,8
2018-05,7
2018-06,7
2018-07,8
2018-08,8
2018-09,10
2018-10,9
2018-11,8
2018-12,8
2019-01,8
2019-02,7
2019-03,7
2019-04,7
2019-05,7
2019-06,7
2019-07,7
2019-08,7
2019-09,7
2019-10,8
2019-11,7
2019-12,7
2020-01,8
2020-02,8
2020-03,7
2020-04,8
2020-05,8
2020-06,7
2020-07,7
2020-08,8
2020-09,9
2020-10,8
2020-11,44
2020-12,9
2021-01,7
2021-02,8
2021-03,7
2021-04,8
2021-05,7
2021-06,7
2021-07,6
2021-08,7
2021-09,7
2021-10,7
2021-11,7
2021-12,7
2022-01,11
2022-02,10
2022-03,12
2022-04,9
2022-05,9
2022-06,9
2022-07,10
2022-08,9
2022-09,10
2022-10,11
2022-11,12
2022-12,13
2023-01,14
2023-02,15
2023-03,19
2023-04,17
2023-05,17
2023-06,18
2023-07,19
2023-08,52
2023-09,32
2023-10,40
2023-11,42
2023-12,49
2024-01,58
2024-02,100
2024-03,65
2024-04,51
2024-05,64
2024-06,55
2024-07,59
2024-08,49
2024-09,58
