Category: All categories

Month,ratio meme: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,10
2012-03,11
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,9
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,9
2013-05,8
2013-06,10
2013-07,0
2013-08,0
2013-09,8
2013-10,0
2013-11,7
2013-12,9
2014-01,0
2014-02,0
2014-03,9
2014-04,10
2014-05,7
2014-06,10
2014-07,10
2014-08,9
2014-09,10
2014-10,9
2014-11,12
2014-12,13
2015-01,8
2015-02,15
2015-03,16
2015-04,16
2015-05,9
2015-06,0
2015-07,0
2015-08,12
2015-09,16
2015-10,16
2015-11,16
2015-12,22
2016-01,14
2016-02,15
2016-03,18
2016-04,15
2016-05,15
2016-06,8
2016-07,17
2016-08,10
2016-09,20
2016-10,22
2016-11,27
2016-12,27
2017-01,24
2017-02,26
2017-03,25
2017-04,28
2017-05,24
2017-06,23
2017-07,19
2017-08,16
2017-09,20
2017-10,18
2017-11,23
2017-12,20
2018-01,24
2018-02,27
2018-03,22
2018-04,26
2018-05,23
2018-06,21
2018-07,21
2018-08,18
2018-09,27
2018-10,26
2018-11,28
2018-12,28
2019-01,32
2019-02,27
2019-03,25
2019-04,27
2019-05,25
2019-06,19
2019-07,17
2019-08,22
2019-09,31
2019-10,29
2019-11,24
2019-12,27
2020-01,30
2020-02,27
2020-03,30
2020-04,32
2020-05,29
2020-06,26
2020-07,21
2020-08,28
2020-09,46
2020-10,45
2020-11,43
2020-12,55
2021-01,47
2021-02,63
2021-03,47
2021-04,39
2021-05,43
2021-06,39
2021-07,49
2021-08,42
2021-09,36
2021-10,53
2021-11,60
2021-12,56
2022-01,96
2022-02,100
2022-03,86
2022-04,85
2022-05,82
2022-06,58
2022-07,62
2022-08,60
2022-09,62
2022-10,66
2022-11,54
2022-12,53
2023-01,54
2023-02,48
2023-03,46
2023-04,51
2023-05,42
2023-06,36
2023-07,30
2023-08,44
2023-09,34
2023-10,35
2023-11,40
2023-12,46
2024-01,34
2024-02,39
2024-03,32
2024-04,44
2024-05,49
2024-06,41
2024-07,30
2024-08,30
2024-09,31
