Category: All categories

Month,redpilled: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,12
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,8
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,9
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,8
2016-01,0
2016-02,0
2016-03,9
2016-04,8
2016-05,20
2016-06,11
2016-07,20
2016-08,13
2016-09,17
2016-10,16
2016-11,18
2016-12,27
2017-01,31
2017-02,54
2017-03,53
2017-04,42
2017-05,36
2017-06,38
2017-07,33
2017-08,29
2017-09,29
2017-10,18
2017-11,27
2017-12,21
2018-01,39
2018-02,13
2018-03,11
2018-04,26
2018-05,19
2018-06,13
2018-07,20
2018-08,30
2018-09,31
2018-10,22
2018-11,24
2018-12,26
2019-01,34
2019-02,29
2019-03,27
2019-04,30
2019-05,33
2019-06,21
2019-07,21
2019-08,34
2019-09,23
2019-10,26
2019-11,31
2019-12,28
2020-01,97
2020-02,34
2020-03,37
2020-04,50
2020-05,57
2020-06,64
2020-07,53
2020-08,68
2020-09,65
2020-10,68
2020-11,56
2020-12,64
2021-01,100
2021-02,67
2021-03,66
2021-04,62
2021-05,65
2021-06,65
2021-07,78
2021-08,79
2021-09,68
2021-10,62
2021-11,46
2021-12,48
2022-01,64
2022-02,49
2022-03,50
2022-04,62
2022-05,45
2022-06,56
2022-07,51
2022-08,55
2022-09,36
2022-10,40
2022-11,46
2022-12,45
2023-01,40
2023-02,42
2023-03,37
2023-04,48
2023-05,25
2023-06,18
2023-07,25
2023-08,27
2023-09,25
2023-10,20
2023-11,25
2023-12,15
2024-01,34
2024-02,25
2024-03,21
2024-04,23
2024-05,26
2024-06,30
2024-07,20
2024-08,20
2024-09,16
