Category: All categories

Month,Secure the bag: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,6
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,5
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,13
2016-08,16
2016-09,17
2016-10,19
2016-11,40
2016-12,69
2017-01,89
2017-02,61
2017-03,98
2017-04,79
2017-05,65
2017-06,91
2017-07,72
2017-08,58
2017-09,62
2017-10,76
2017-11,58
2017-12,83
2018-01,83
2018-02,66
2018-03,67
2018-04,67
2018-05,80
2018-06,59
2018-07,67
2018-08,50
2018-09,58
2018-10,74
2018-11,62
2018-12,59
2019-01,59
2019-02,49
2019-03,76
2019-04,75
2019-05,61
2019-06,77
2019-07,56
2019-08,55
2019-09,50
2019-10,48
2019-11,44
2019-12,49
2020-01,40
2020-02,42
2020-03,100
2020-04,54
2020-05,51
2020-06,41
2020-07,39
2020-08,43
2020-09,36
2020-10,33
2020-11,43
2020-12,38
2021-01,40
2021-02,38
2021-03,36
2021-04,37
2021-05,34
2021-06,33
2021-07,30
2021-08,37
2021-09,33
2021-10,31
2021-11,29
2021-12,43
2022-01,40
2022-02,28
2022-03,26
2022-04,31
2022-05,29
2022-06,19
2022-07,26
2022-08,23
2022-09,22
2022-10,38
2022-11,26
2022-12,26
2023-01,29
2023-02,24
2023-03,29
2023-04,29
2023-05,31
2023-06,29
2023-07,28
2023-08,29
2023-09,28
2023-10,27
2023-11,23
2023-12,22
2024-01,22
2024-02,27
2024-03,24
2024-04,26
2024-05,25
2024-06,22
2024-07,13
2024-08,20
2024-09,20
