Category: All categories

Month,Slay: (United States)
2004-01,9
2004-02,11
2004-03,12
2004-04,11
2004-05,12
2004-06,10
2004-07,10
2004-08,9
2004-09,10
2004-10,7
2004-11,9
2004-12,12
2005-01,10
2005-02,10
2005-03,11
2005-04,12
2005-05,11
2005-06,10
2005-07,7
2005-08,10
2005-09,8
2005-10,13
2005-11,12
2005-12,13
2006-01,12
2006-02,10
2006-03,10
2006-04,9
2006-05,11
2006-06,10
2006-07,9
2006-08,11
2006-09,10
2006-10,10
2006-11,7
2006-12,12
2007-01,8
2007-02,8
2007-03,8
2007-04,8
2007-05,8
2007-06,7
2007-07,8
2007-08,8
2007-09,8
2007-10,9
2007-11,8
2007-12,11
2008-01,8
2008-02,7
2008-03,8
2008-04,7
2008-05,8
2008-06,8
2008-07,8
2008-08,8
2008-09,7
2008-10,8
2008-11,10
2008-12,12
2009-01,9
2009-02,9
2009-03,8
2009-04,9
2009-05,9
2009-06,9
2009-07,8
2009-08,10
2009-09,9
2009-10,10
2009-11,11
2009-12,11
2010-01,10
2010-02,12
2010-03,10
2010-04,9
2010-05,9
2010-06,8
2010-07,7
2010-08,8
2010-09,8
2010-10,10
2010-11,10
2010-12,13
2011-01,9
2011-02,9
2011-03,9
2011-04,9
2011-05,8
2011-06,9
2011-07,9
2011-08,8
2011-09,8
2011-10,9
2011-11,10
2011-12,12
2012-01,9
2012-02,8
2012-03,8
2012-04,8
2012-05,8
2012-06,9
2012-07,8
2012-08,8
2012-09,9
2012-10,8
2012-11,9
2012-12,12
2013-01,8
2013-02,12
2013-03,10
2013-04,15
2013-05,9
2013-06,9
2013-07,10
2013-08,11
2013-09,10
2013-10,11
2013-11,12
2013-12,15
2014-01,12
2014-02,11
2014-03,11
2014-04,12
2014-05,12
2014-06,13
2014-07,13
2014-08,13
2014-09,13
2014-10,13
2014-11,15
2014-12,20
2015-01,15
2015-02,15
2015-03,15
2015-04,14
2015-05,16
2015-06,17
2015-07,15
2015-08,21
2015-09,19
2015-10,18
2015-11,19
2015-12,23
2016-01,18
2016-02,32
2016-03,27
2016-04,29
2016-05,30
2016-06,27
2016-07,26
2016-08,25
2016-09,30
2016-10,32
2016-11,33
2016-12,38
2017-01,30
2017-02,27
2017-03,26
2017-04,25
2017-05,24
2017-06,22
2017-07,21
2017-08,22
2017-09,27
2017-10,22
2017-11,27
2017-12,33
2018-01,41
2018-02,43
2018-03,35
2018-04,33
2018-05,32
2018-06,29
2018-07,32
2018-08,29
2018-09,31
2018-10,29
2018-11,34
2018-12,43
2019-01,35
2019-02,29
2019-03,27
2019-04,25
2019-05,26
2019-06,31
2019-07,30
2019-08,31
2019-09,36
2019-10,38
2019-11,28
2019-12,37
2020-01,39
2020-02,38
2020-03,59
2020-04,33
2020-05,29
2020-06,30
2020-07,30
2020-08,29
2020-09,27
2020-10,28
2020-11,28
2020-12,38
2021-01,29
2021-02,29
2021-03,25
2021-04,25
2021-05,24
2021-06,27
2021-07,27
2021-08,27
2021-09,27
2021-10,27
2021-11,34
2021-12,39
2022-01,54
2022-02,35
2022-03,39
2022-04,100
2022-05,57
2022-06,51
2022-07,53
2022-08,53
2022-09,72
2022-10,68
2022-11,63
2022-12,64
2023-01,62
2023-02,59
2023-03,89
2023-04,57
2023-05,51
2023-06,43
2023-07,43
2023-08,43
2023-09,52
2023-10,59
2023-11,68
2023-12,77
2024-01,79
2024-02,60
2024-03,59
2024-04,64
2024-05,62
2024-06,61
2024-07,61
2024-08,61
2024-09,66
