Category: All categories

Month,spill the tea: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,7
2010-06,10
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,3
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,3
2013-03,0
2013-04,0
2013-05,0
2013-06,3
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,3
2014-02,0
2014-03,2
2014-04,6
2014-05,4
2014-06,0
2014-07,5
2014-08,3
2014-09,0
2014-10,0
2014-11,0
2014-12,2
2015-01,2
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,5
2015-08,5
2015-09,3
2015-10,5
2015-11,4
2015-12,4
2016-01,3
2016-02,4
2016-03,6
2016-04,6
2016-05,3
2016-06,4
2016-07,7
2016-08,4
2016-09,5
2016-10,7
2016-11,5
2016-12,7
2017-01,8
2017-02,6
2017-03,10
2017-04,10
2017-05,10
2017-06,14
2017-07,17
2017-08,15
2017-09,11
2017-10,11
2017-11,12
2017-12,12
2018-01,14
2018-02,17
2018-03,17
2018-04,16
2018-05,20
2018-06,17
2018-07,26
2018-08,35
2018-09,39
2018-10,48
2018-11,51
2018-12,50
2019-01,51
2019-02,57
2019-03,64
2019-04,62
2019-05,100
2019-06,65
2019-07,52
2019-08,55
2019-09,56
2019-10,49
2019-11,59
2019-12,43
2020-01,44
2020-02,48
2020-03,43
2020-04,41
2020-05,51
2020-06,43
2020-07,43
2020-08,38
2020-09,38
2020-10,38
2020-11,34
2020-12,36
2021-01,38
2021-02,33
2021-03,39
2021-04,39
2021-05,35
2021-06,49
2021-07,35
2021-08,39
2021-09,42
2021-10,33
2021-11,33
2021-12,38
2022-01,41
2022-02,39
2022-03,39
2022-04,40
2022-05,41
2022-06,50
2022-07,49
2022-08,47
2022-09,39
2022-10,35
2022-11,33
2022-12,43
2023-01,40
2023-02,43
2023-03,46
2023-04,45
2023-05,47
2023-06,48
2023-07,47
2023-08,41
2023-09,45
2023-10,37
2023-11,45
2023-12,40
2024-01,44
2024-02,59
2024-03,48
2024-04,47
2024-05,48
2024-06,51
2024-07,47
2024-08,45
2024-09,43
