Category: All categories

Month,Stanning: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,8
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,6
2011-07,4
2011-08,5
2011-09,0
2011-10,3
2011-11,0
2011-12,0
2012-01,3
2012-02,6
2012-03,0
2012-04,3
2012-05,5
2012-06,0
2012-07,0
2012-08,17
2012-09,3
2012-10,5
2012-11,3
2012-12,4
2013-01,2
2013-02,4
2013-03,4
2013-04,4
2013-05,3
2013-06,0
2013-07,3
2013-08,0
2013-09,3
2013-10,3
2013-11,4
2013-12,8
2014-01,4
2014-02,0
2014-03,3
2014-04,4
2014-05,3
2014-06,6
2014-07,0
2014-08,5
2014-09,3
2014-10,4
2014-11,6
2014-12,5
2015-01,6
2015-02,4
2015-03,5
2015-04,3
2015-05,5
2015-06,4
2015-07,8
2015-08,14
2015-09,14
2015-10,2
2015-11,3
2015-12,7
2016-01,9
2016-02,6
2016-03,5
2016-04,7
2016-05,5
2016-06,7
2016-07,7
2016-08,10
2016-09,5
2016-10,6
2016-11,16
2016-12,6
2017-01,7
2017-02,9
2017-03,6
2017-04,8
2017-05,9
2017-06,11
2017-07,16
2017-08,12
2017-09,14
2017-10,8
2017-11,9
2017-12,12
2018-01,14
2018-02,15
2018-03,15
2018-04,15
2018-05,13
2018-06,13
2018-07,19
2018-08,33
2018-09,13
2018-10,15
2018-11,14
2018-12,14
2019-01,25
2019-02,23
2019-03,23
2019-04,22
2019-05,20
2019-06,22
2019-07,25
2019-08,16
2019-09,19
2019-10,15
2019-11,17
2019-12,12
2020-01,14
2020-02,21
2020-03,15
2020-04,88
2020-05,30
2020-06,31
2020-07,23
2020-08,100
2020-09,16
2020-10,25
2020-11,21
2020-12,25
2021-01,26
2021-02,34
2021-03,23
2021-04,17
2021-05,20
2021-06,24
2021-07,19
2021-08,14
2021-09,14
2021-10,11
2021-11,21
2021-12,22
2022-01,20
2022-02,15
2022-03,13
2022-04,12
2022-05,11
2022-06,19
2022-07,14
2022-08,12
2022-09,10
2022-10,10
2022-11,11
2022-12,33
2023-01,26
2023-02,16
2023-03,16
2023-04,16
2023-05,12
2023-06,13
2023-07,12
2023-08,8
2023-09,7
2023-10,13
2023-11,17
2023-12,13
2024-01,17
2024-02,12
2024-03,13
2024-04,14
2024-05,13
2024-06,10
2024-07,10
2024-08,31
2024-09,8
