Category: All categories

Month,Thug it out: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,56
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,30
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,30
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,23
2010-04,18
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,20
2010-12,18
2011-01,18
2011-02,0
2011-03,0
2011-04,15
2011-05,17
2011-06,0
2011-07,0
2011-08,0
2011-09,19
2011-10,0
2011-11,0
2011-12,15
2012-01,12
2012-02,0
2012-03,13
2012-04,10
2012-05,9
2012-06,10
2012-07,13
2012-08,0
2012-09,0
2012-10,11
2012-11,14
2012-12,8
2013-01,8
2013-02,0
2013-03,17
2013-04,11
2013-05,11
2013-06,12
2013-07,9
2013-08,8
2013-09,12
2013-10,8
2013-11,9
2013-12,11
2014-01,19
2014-02,18
2014-03,20
2014-04,23
2014-05,22
2014-06,36
2014-07,37
2014-08,36
2014-09,32
2014-10,31
2014-11,24
2014-12,17
2015-01,29
2015-02,23
2015-03,30
2015-04,38
2015-05,31
2015-06,20
2015-07,28
2015-08,23
2015-09,19
2015-10,24
2015-11,18
2015-12,28
2016-01,33
2016-02,34
2016-03,32
2016-04,29
2016-05,30
2016-06,18
2016-07,23
2016-08,17
2016-09,17
2016-10,16
2016-11,21
2016-12,17
2017-01,19
2017-02,14
2017-03,9
2017-04,17
2017-05,15
2017-06,19
2017-07,10
2017-08,15
2017-09,13
2017-10,14
2017-11,19
2017-12,13
2018-01,13
2018-02,14
2018-03,13
2018-04,8
2018-05,11
2018-06,11
2018-07,13
2018-08,10
2018-09,20
2018-10,21
2018-11,19
2018-12,20
2019-01,24
2019-02,23
2019-03,22
2019-04,24
2019-05,23
2019-06,19
2019-07,16
2019-08,23
2019-09,25
2019-10,19
2019-11,22
2019-12,24
2020-01,21
2020-02,27
2020-03,26
2020-04,24
2020-05,23
2020-06,19
2020-07,15
2020-08,17
2020-09,15
2020-10,18
2020-11,15
2020-12,18
2021-01,11
2021-02,14
2021-03,16
2021-04,15
2021-05,17
2021-06,14
2021-07,12
2021-08,15
2021-09,12
2021-10,15
2021-11,21
2021-12,24
2022-01,25
2022-02,21
2022-03,26
2022-04,28
2022-05,28
2022-06,21
2022-07,23
2022-08,20
2022-09,20
2022-10,22
2022-11,21
2022-12,27
2023-01,25
2023-02,19
2023-03,23
2023-04,23
2023-05,23
2023-06,34
2023-07,25
2023-08,28
2023-09,92
2023-10,100
2023-11,76
2023-12,72
2024-01,68
2024-02,87
2024-03,73
2024-04,65
2024-05,68
2024-06,60
2024-07,47
2024-08,36
2024-09,48
