Category: All categories

Month,touch grass: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,7
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,7
2009-03,10
2009-04,7
2009-05,0
2009-06,8
2009-07,0
2009-08,0
2009-09,6
2009-10,7
2009-11,0
2009-12,8
2010-01,0
2010-02,0
2010-03,0
2010-04,8
2010-05,9
2010-06,8
2010-07,10
2010-08,0
2010-09,7
2010-10,0
2010-11,5
2010-12,9
2011-01,0
2011-02,6
2011-03,7
2011-04,7
2011-05,10
2011-06,10
2011-07,9
2011-08,9
2011-09,10
2011-10,9
2011-11,7
2011-12,8
2012-01,5
2012-02,4
2012-03,9
2012-04,8
2012-05,6
2012-06,9
2012-07,10
2012-08,11
2012-09,5
2012-10,5
2012-11,6
2012-12,3
2013-01,4
2013-02,6
2013-03,7
2013-04,9
2013-05,12
2013-06,7
2013-07,6
2013-08,6
2013-09,8
2013-10,6
2013-11,4
2013-12,6
2014-01,6
2014-02,3
2014-03,5
2014-04,8
2014-05,11
2014-06,8
2014-07,9
2014-08,5
2014-09,7
2014-10,5
2014-11,6
2014-12,4
2015-01,0
2015-02,5
2015-03,7
2015-04,7
2015-05,10
2015-06,8
2015-07,7
2015-08,8
2015-09,4
2015-10,7
2015-11,5
2015-12,5
2016-01,5
2016-02,7
2016-03,8
2016-04,9
2016-05,7
2016-06,7
2016-07,9
2016-08,6
2016-09,5
2016-10,4
2016-11,5
2016-12,5
2017-01,5
2017-02,6
2017-03,5
2017-04,9
2017-05,9
2017-06,22
2017-07,10
2017-08,7
2017-09,8
2017-10,7
2017-11,5
2017-12,5
2018-01,6
2018-02,5
2018-03,7
2018-04,8
2018-05,11
2018-06,10
2018-07,8
2018-08,9
2018-09,9
2018-10,7
2018-11,5
2018-12,4
2019-01,6
2019-02,8
2019-03,6
2019-04,11
2019-05,11
2019-06,10
2019-07,9
2019-08,9
2019-09,8
2019-10,7
2019-11,5
2019-12,6
2020-01,7
2020-02,9
2020-03,9
2020-04,15
2020-05,16
2020-06,10
2020-07,12
2020-08,9
2020-09,9
2020-10,10
2020-11,7
2020-12,15
2021-01,34
2021-02,37
2021-03,42
2021-04,54
2021-05,56
2021-06,60
2021-07,64
2021-08,59
2021-09,48
2021-10,47
2021-11,47
2021-12,44
2022-01,56
2022-02,70
2022-03,81
2022-04,99
2022-05,97
2022-06,91
2022-07,84
2022-08,67
2022-09,77
2022-10,72
2022-11,71
2022-12,63
2023-01,64
2023-02,67
2023-03,82
2023-04,93
2023-05,95
2023-06,95
2023-07,92
2023-08,77
2023-09,72
2023-10,64
2023-11,57
2023-12,58
2024-01,62
2024-02,68
2024-03,72
2024-04,100
2024-05,94
2024-06,89
2024-07,92
2024-08,84
2024-09,85
