Category: All categories

Month,what the sigma: (United States)
2004-01,0
2004-02,0
2004-03,5
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,3
2004-11,0
2004-12,0
2005-01,0
2005-02,4
2005-03,3
2005-04,0
2005-05,4
2005-06,0
2005-07,0
2005-08,2
2005-09,2
2005-10,3
2005-11,0
2005-12,2
2006-01,0
2006-02,3
2006-03,1
2006-04,2
2006-05,2
2006-06,0
2006-07,2
2006-08,0
2006-09,2
2006-10,3
2006-11,2
2006-12,1
2007-01,2
2007-02,4
2007-03,2
2007-04,2
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,3
2007-10,3
2007-11,3
2007-12,2
2008-01,3
2008-02,3
2008-03,3
2008-04,4
2008-05,3
2008-06,2
2008-07,3
2008-08,2
2008-09,3
2008-10,3
2008-11,5
2008-12,3
2009-01,4
2009-02,5
2009-03,5
2009-04,5
2009-05,5
2009-06,4
2009-07,4
2009-08,4
2009-09,6
2009-10,6
2009-11,5
2009-12,5
2010-01,6
2010-02,7
2010-03,7
2010-04,7
2010-05,5
2010-06,5
2010-07,5
2010-08,4
2010-09,6
2010-10,7
2010-11,7
2010-12,6
2011-01,7
2011-02,7
2011-03,8
2011-04,8
2011-05,6
2011-06,5
2011-07,5
2011-08,5
2011-09,6
2011-10,8
2011-11,8
2011-12,7
2012-01,6
2012-02,8
2012-03,7
2012-04,8
2012-05,7
2012-06,6
2012-07,6
2012-08,7
2012-09,9
2012-10,9
2012-11,9
2012-12,8
2013-01,8
2013-02,9
2013-03,8
2013-04,10
2013-05,7
2013-06,5
2013-07,6
2013-08,5
2013-09,9
2013-10,9
2013-11,10
2013-12,8
2014-01,8
2014-02,10
2014-03,9
2014-04,9
2014-05,7
2014-06,6
2014-07,6
2014-08,5
2014-09,9
2014-10,9
2014-11,9
2014-12,8
2015-01,7
2015-02,8
2015-03,10
2015-04,10
2015-05,7
2015-06,6
2015-07,6
2015-08,5
2015-09,9
2015-10,10
2015-11,10
2015-12,8
2016-01,6
2016-02,9
2016-03,8
2016-04,8
2016-05,6
2016-06,5
2016-07,5
2016-08,4
2016-09,7
2016-10,8
2016-11,9
2016-12,7
2017-01,6
2017-02,8
2017-03,8
2017-04,9
2017-05,6
2017-06,5
2017-07,4
2017-08,5
2017-09,7
2017-10,9
2017-11,8
2017-12,6
2018-01,6
2018-02,8
2018-03,8
2018-04,8
2018-05,6
2018-06,5
2018-07,4
2018-08,5
2018-09,7
2018-10,10
2018-11,8
2018-12,6
2019-01,6
2019-02,8
2019-03,7
2019-04,8
2019-05,6
2019-06,4
2019-07,4
2019-08,4
2019-09,8
2019-10,9
2019-11,8
2019-12,5
2020-01,6
2020-02,9
2020-03,8
2020-04,10
2020-05,7
2020-06,5
2020-07,5
2020-08,5
2020-09,9
2020-10,11
2020-11,9
2020-12,6
2021-01,6
2021-02,8
2021-03,9
2021-04,9
2021-05,7
2021-06,6
2021-07,4
2021-08,5
2021-09,9
2021-10,11
2021-11,10
2021-12,7
2022-01,10
2022-02,14
2022-03,14
2022-04,14
2022-05,11
2022-06,8
2022-07,8
2022-08,8
2022-09,11
2022-10,15
2022-11,14
2022-12,12
2023-01,13
2023-02,17
2023-03,15
2023-04,15
2023-05,11
2023-06,8
2023-07,8
2023-08,9
2023-09,14
2023-10,19
2023-11,18
2023-12,14
2024-01,13
2024-02,23
2024-03,22
2024-04,66
2024-05,100
2024-06,55
2024-07,39
2024-08,43
2024-09,53
