Category: All categories

Month,wojak: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,5
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,1
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,2
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,1
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,1
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,1
2012-06,1
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,1
2013-01,1
2013-02,0
2013-03,1
2013-04,1
2013-05,0
2013-06,0
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,0
2014-01,1
2014-02,0
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,0
2014-08,1
2014-09,1
2014-10,2
2014-11,1
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,4
2015-05,5
2015-06,6
2015-07,6
2015-08,6
2015-09,6
2015-10,6
2015-11,6
2015-12,5
2016-01,4
2016-02,4
2016-03,4
2016-04,4
2016-05,4
2016-06,3
2016-07,5
2016-08,4
2016-09,5
2016-10,6
2016-11,4
2016-12,4
2017-01,5
2017-02,5
2017-03,5
2017-04,5
2017-05,5
2017-06,4
2017-07,4
2017-08,5
2017-09,4
2017-10,6
2017-11,6
2017-12,9
2018-01,11
2018-02,11
2018-03,8
2018-04,8
2018-05,10
2018-06,9
2018-07,10
2018-08,12
2018-09,13
2018-10,20
2018-11,14
2018-12,13
2019-01,13
2019-02,14
2019-03,15
2019-04,15
2019-05,15
2019-06,15
2019-07,15
2019-08,15
2019-09,16
2019-10,20
2019-11,21
2019-12,21
2020-01,31
2020-02,22
2020-03,29
2020-04,34
2020-05,34
2020-06,40
2020-07,47
2020-08,52
2020-09,51
2020-10,48
2020-11,53
2020-12,90
2021-01,93
2021-02,63
2021-03,60
2021-04,58
2021-05,57
2021-06,64
2021-07,100
2021-08,70
2021-09,59
2021-10,70
2021-11,58
2021-12,57
2022-01,68
2022-02,65
2022-03,65
2022-04,62
2022-05,64
2022-06,62
2022-07,59
2022-08,58
2022-09,52
2022-10,55
2022-11,57
2022-12,59
2023-01,60
2023-02,60
2023-03,56
2023-04,66
2023-05,65
2023-06,61
2023-07,60
2023-08,60
2023-09,63
2023-10,58
2023-11,52
2023-12,52
2024-01,55
2024-02,55
2024-03,60
2024-04,60
2024-05,64
2024-06,55
2024-07,61
2024-08,57
2024-09,55
