Category: All categories

Month,yeet: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,<1
2010-11,0
2010-12,0
2011-01,<1
2011-02,0
2011-03,0
2011-04,<1
2011-05,<1
2011-06,0
2011-07,0
2011-08,<1
2011-09,0
2011-10,0
2011-11,<1
2011-12,0
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,0
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,0
2012-10,0
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,0
2013-03,<1
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,<1
2013-09,0
2013-10,<1
2013-11,0
2013-12,0
2014-01,<1
2014-02,2
2014-03,16
2014-04,96
2014-05,57
2014-06,33
2014-07,28
2014-08,27
2014-09,28
2014-10,26
2014-11,29
2014-12,26
2015-01,20
2015-02,18
2015-03,17
2015-04,16
2015-05,15
2015-06,11
2015-07,10
2015-08,9
2015-09,11
2015-10,12
2015-11,11
2015-12,11
2016-01,9
2016-02,10
2016-03,9
2016-04,9
2016-05,9
2016-06,7
2016-07,7
2016-08,7
2016-09,10
2016-10,11
2016-11,12
2016-12,12
2017-01,12
2017-02,13
2017-03,12
2017-04,13
2017-05,13
2017-06,11
2017-07,10
2017-08,11
2017-09,14
2017-10,18
2017-11,19
2017-12,18
2018-01,17
2018-02,20
2018-03,22
2018-04,24
2018-05,47
2018-06,35
2018-07,40
2018-08,54
2018-09,56
2018-10,63
2018-11,66
2018-12,66
2019-01,65
2019-02,66
2019-03,66
2019-04,71
2019-05,73
2019-06,78
2019-07,68
2019-08,67
2019-09,85
2019-10,100
2019-11,88
2019-12,74
2020-01,72
2020-02,65
2020-03,54
2020-04,45
2020-05,45
2020-06,44
2020-07,38
2020-08,42
2020-09,52
2020-10,38
2020-11,37
2020-12,45
2021-01,34
2021-02,30
2021-03,25
2021-04,29
2021-05,33
2021-06,23
2021-07,26
2021-08,20
2021-09,19
2021-10,21
2021-11,20
2021-12,21
2022-01,20
2022-02,19
2022-03,17
2022-04,21
2022-05,19
2022-06,18
2022-07,17
2022-08,15
2022-09,28
2022-10,18
2022-11,15
2022-12,16
2023-01,15
2023-02,15
2023-03,16
2023-04,32
2023-05,29
2023-06,25
2023-07,17
2023-08,21
2023-09,14
2023-10,21
2023-11,21
2023-12,27
2024-01,18
2024-02,18
2024-03,17
2024-04,22
2024-05,17
2024-06,14
2024-07,16
2024-08,16
2024-09,17
