Category: All categories

Month,zesty: (United States)
2004-01,13
2004-02,17
2004-03,12
2004-04,17
2004-05,32
2004-06,19
2004-07,14
2004-08,9
2004-09,11
2004-10,9
2004-11,6
2004-12,6
2005-01,9
2005-02,10
2005-03,7
2005-04,6
2005-05,8
2005-06,10
2005-07,7
2005-08,8
2005-09,6
2005-10,8
2005-11,7
2005-12,7
2006-01,4
2006-02,10
2006-03,8
2006-04,7
2006-05,8
2006-06,8
2006-07,8
2006-08,7
2006-09,8
2006-10,8
2006-11,7
2006-12,8
2007-01,9
2007-02,7
2007-03,10
2007-04,10
2007-05,9
2007-06,9
2007-07,11
2007-08,10
2007-09,10
2007-10,8
2007-11,10
2007-12,10
2008-01,8
2008-02,10
2008-03,10
2008-04,10
2008-05,11
2008-06,9
2008-07,11
2008-08,11
2008-09,10
2008-10,10
2008-11,11
2008-12,14
2009-01,13
2009-02,12
2009-03,10
2009-04,13
2009-05,13
2009-06,12
2009-07,12
2009-08,13
2009-09,11
2009-10,11
2009-11,11
2009-12,11
2010-01,12
2010-02,12
2010-03,11
2010-04,11
2010-05,12
2010-06,11
2010-07,12
2010-08,13
2010-09,12
2010-10,12
2010-11,12
2010-12,13
2011-01,15
2011-02,14
2011-03,12
2011-04,12
2011-05,14
2011-06,15
2011-07,15
2011-08,15
2011-09,14
2011-10,13
2011-11,13
2011-12,14
2012-01,14
2012-02,14
2012-03,13
2012-04,15
2012-05,15
2012-06,15
2012-07,17
2012-08,17
2012-09,15
2012-10,14
2012-11,14
2012-12,14
2013-01,16
2013-02,15
2013-03,15
2013-04,34
2013-05,35
2013-06,69
2013-07,41
2013-08,33
2013-09,21
2013-10,19
2013-11,20
2013-12,18
2014-01,21
2014-02,20
2014-03,19
2014-04,20
2014-05,19
2014-06,21
2014-07,22
2014-08,22
2014-09,20
2014-10,19
2014-11,17
2014-12,17
2015-01,21
2015-02,19
2015-03,19
2015-04,20
2015-05,21
2015-06,24
2015-07,24
2015-08,24
2015-09,21
2015-10,21
2015-11,19
2015-12,20
2016-01,22
2016-02,22
2016-03,24
2016-04,24
2016-05,27
2016-06,25
2016-07,25
2016-08,24
2016-09,23
2016-10,22
2016-11,25
2016-12,23
2017-01,26
2017-02,25
2017-03,25
2017-04,26
2017-05,28
2017-06,28
2017-07,30
2017-08,26
2017-09,25
2017-10,23
2017-11,24
2017-12,24
2018-01,28
2018-02,27
2018-03,27
2018-04,27
2018-05,28
2018-06,27
2018-07,29
2018-08,27
2018-09,25
2018-10,26
2018-11,24
2018-12,25
2019-01,28
2019-02,29
2019-03,27
2019-04,29
2019-05,28
2019-06,29
2019-07,30
2019-08,28
2019-09,28
2019-10,27
2019-11,28
2019-12,28
2020-01,32
2020-02,28
2020-03,26
2020-04,32
2020-05,37
2020-06,33
2020-07,35
2020-08,29
2020-09,29
2020-10,29
2020-11,29
2020-12,29
2021-01,33
2021-02,34
2021-03,29
2021-04,32
2021-05,34
2021-06,36
2021-07,35
2021-08,36
2021-09,31
2021-10,29
2021-11,30
2021-12,31
2022-01,40
2022-02,40
2022-03,47
2022-04,89
2022-05,53
2022-06,60
2022-07,59
2022-08,59
2022-09,69
2022-10,70
2022-11,83
2022-12,82
2023-01,81
2023-02,89
2023-03,89
2023-04,97
2023-05,100
2023-06,85
2023-07,78
2023-08,66
2023-09,80
2023-10,80
2023-11,74
2023-12,72
2024-01,79
2024-02,81
2024-03,78
2024-04,81
2024-05,97
2024-06,77
2024-07,69
2024-08,66
2024-09,72
